variable code,variable name
location,Countries and territories name
code,Countries and territories ISO3 code 
region,Region (WHO)
income,Country income group 2021 (World Bank)
year,Year
che_gdp,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP)
che_pc_usd,Current Health Expenditure (CHE) per Capita in US$
che,"Current Health Expenditure (CHE), in million current NCU"
gghed,"Domestic General Government Health Expenditure (GGHE-D), in million current NCU"
pvtd,"Domestic Private Health Expenditure (PVT-D), in million current NCU"
ext,"External Health Expenditure (EXT), in million current NCU"
dom_che,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE)
gghed_che,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE)
pvtd_che,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE)
oops_che,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE)
vpp_che,Voluntary Prepayments as % of Current Health Expenditure (CHE)
ext_che,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE)
gghed_gdp,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP)
gghed_gge,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE)
gghed_pc_usd,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$
pvtd_pc_usd,Domestic Private Health Expenditure (PVT-D) per Capita in US$
oop_pc_usd,Out-of-Pocket Expenditure (OOPS) per Capita in US$
ext_pc_usd,External Health Expenditure (EXT) per Capita in US$
tran_shi,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI)
shise_shi,Self-Employed Contributions to Social Health Insurance (SHI-SE) as % of Social Health Insurance (SHI)
cfa_che,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE)
gfa_che,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE)
chi_che,Compulsory Health Insurance (CHI) as % of Current Health Expenditure (CHE)
shi_che,Social Health Insurance (SHI) as % of Current Health Expenditure (CHE)
chi_pvt_che,Compulsory Private Health Insurance (CHI-PVT) as % of Current Health Expenditure (CHE)
vfa_che,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE)
vhi_che,Voluntary Health Insurance (VHI) as % of Current Health Expenditure (CHE)
row_che,Rest of the World (RoW) as % of Current Health Expenditure (CHE)
phc_usd_pc,Primary Health Care (PHC) Expenditure per Capita in US$
phc_che,Primary Health Care (PHC) Expenditure as % Current Health Expenditure (CHE)
phc_gghed_usd_pc,Domestic General Government Expenditure on PHC per Capita in US$
gghed_phc_gghed,Domestic General Government Expenditure on PHC as % GGHE-D
gghed_phc_phc,Domestic General Government Expenditure on PHC as % PHC
phc_ext_usd_pc,External Expenditure on PHC per Capita in US$
ext_phc_ext,External Expenditure on PHC as % EXT
ext_phc_phc,External Expenditure on PHC as % PHC
phc_public_gdp,PHC (government and donors) as % of GDP
phc_pvtd_usd_pc,Domestic Private Expenditure on PHC per Capita in US$
pvtd_phc_pvtd,Domestic Private Expenditure on PHC as % PVTD
pvtd_phc_phc,Domestic Private Expenditure on PHC as % PHC
hc62_che,Expenditure on Immunization Programmes as % Current Health Expenditure (CHE)
hc62_g_gghed,Domestic General Government Expenditure on Immunization Programmes as % of Domestic General Government Expenditure on Health (GGHE-D)
hc62_ext_ext,External sources of funding on Immunization Programmes as % of External Health Expenditure (EXT)
fp3214_che,Expenditure on Vaccines as % Current Health Expenditure (CHE)
fp3214_gghed_fp3214,Domestic General Government Expenditure on Vaccines as % of expenditure on Vaccines
fp3214_ext_fp3214,External sources of funding on Vaccines as % of expenditure on Vaccines
dis1_che,Expenditure on Infectious and Parasitic Diseases as % of Current Health Expenditure (CHE)
dis11_che,Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Current Health Expenditure (CHE)
dis12_che,Expenditure on Tuberculosis (TB) as % of Current Health Expenditure (CHE)
dis13_che,Expenditure on Malaria as % of Current Health Expenditure (CHE)
dis16_che,Expenditure on Neglected Tropical Diseases (NTDs) as % of Current Health Expenditure (CHE)
dis2_che,Expenditure on Reproductive Health as % of Current Health Expenditure (CHE)
dis21_che,Expenditure on Maternal Conditions as % of Current Health Expenditure (CHE)
dis22_che,Expenditure on Perinatal Conditions as % of Current Health Expenditure (CHE)
dis23_che,Expenditure on Contraceptive Management (Family Planning) as % of Current Health Expenditure (CHE)
dis3_che,Expenditure on Nutritional Deficiencies as % of Current Health Expenditure (CHE)
dis4_che,Expenditure on Noncommunicable Diseases (NCDs) as % of Current Health Expenditure (CHE)
dis5_che,Expenditure on Injuries as % of Current Health Expenditure (CHE)
disnec_che,Expenditure on other and unspecified diseases/conditions (n.e.c.) as % of Current Health Expenditure (CHE)
dis1_g_gghed,Domestic General Government Expenditure on Infectious and Parasitic Diseases as % of Domestic General Government Expenditure on Health (GGHE-D)
dis11_g_gghed,Domestic General Government Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Domestic General Government Expenditure on Health (GGHE-D)
dis12_g_gghed,Domestic General Government Expenditure on Tuberculosis (TB) as % of Domestic General Government Expenditure on Health (GGHE-D)
dis13_g_gghed,Domestic General Government Expenditure on Malaria as % of Domestic General Government Expenditure on Health (GGHE-D)
dis16_g_gghed,Domestic General Government Expenditure on Neglected Tropical Diseases (NTDs) as % of Domestic General Government Expenditure on Health (GGHE-D)
dis2_g_gghed,Domestic General Government Expenditure on Reproductive Health as % of Domestic General Government Expenditure on Health (GGHE-D)
dis21_g_gghed,Domestic General Government Expenditure on Maternal Conditions as % of Domestic General Government Expenditure on Health (GGHE-D)
dis22_g_gghed,Domestic General Government Expenditure on Perinatal Conditions as % of Domestic General Government Expenditure on Health (GGHE-D)
dis23_g_gghed,Domestic General Government Expenditure on Contraceptive Management (Family Planning) as % of Domestic General Government Expenditure on Health (GGHE-D)
dis3_g_gghed,Domestic General Government Expenditure on Nutritional Deficiencies as % of Domestic General Government Expenditure on Health (GGHE-D)
dis4_g_gghed,Domestic General Government Expenditure on Noncommunicable Diseases (NCDs) as % of Domestic General Government Expenditure on Health (GGHE-D)
dis5_g_gghed,Domestic General Government Expenditure on Injuries as % of Domestic General Government Expenditure on Health (GGHE-D)
disnec_g_gghed,Domestic General Government Expenditure on other and unspecified diseases/conditions (n.e.c.) as % of Domestic General Government Expenditure on Health (GGHE-D)
dis1_ext_ext,External sources of funding on Infectious and Parasitic Diseases as % of External Health Expenditure (EXT)
