Country code,Country,Period,IsLatestYear,Sex,Sex,FactValueNumeric
MDA,Republic of Moldova,2021,TRUE,Male,SEX_MLE,65.53
RUS,Russian Federation,2021,TRUE,Male,SEX_MLE,65.57
TKM,Turkmenistan,2021,TRUE,Male,SEX_MLE,65.71
UKR,Ukraine,2021,TRUE,Male,SEX_MLE,66.33
KAZ,Kazakhstan,2021,TRUE,Male,SEX_MLE,66.37
GEO,Georgia,2021,TRUE,Male,SEX_MLE,66.85
BGR,Bulgaria,2021,TRUE,Male,SEX_MLE,67.98
BLR,Belarus,2021,TRUE,Male,SEX_MLE,68.06
KGZ,Kyrgyzstan,2021,TRUE,Male,SEX_MLE,68.53
LVA,Latvia,2021,TRUE,Male,SEX_MLE,68.5
ARM,Armenia,2021,TRUE,Male,SEX_MLE,68.6
TKM,Turkmenistan,2021,TRUE,Both sexes,SEX_BTSX,69.12
ROU,Romania,2021,TRUE,Male,SEX_MLE,69.21
MDA,Republic of Moldova,2021,TRUE,Both sexes,SEX_BTSX,69.56
LTU,Lithuania,2021,TRUE,Male,SEX_MLE,69.59
RUS,Russian Federation,2021,TRUE,Both sexes,SEX_BTSX,70.02
SRB,Serbia,2021,TRUE,Male,SEX_MLE,69.99
UZB,Uzbekistan,2021,TRUE,Male,SEX_MLE,70.16
TJK,Tajikistan,2021,TRUE,Male,SEX_MLE,70.17
KAZ,Kazakhstan,2021,TRUE,Both sexes,SEX_BTSX,70.28
AZE,Azerbaijan,2021,TRUE,Male,SEX_MLE,70.5
UKR,Ukraine,2021,TRUE,Both sexes,SEX_BTSX,70.91
MKD,North Macedonia,2021,TRUE,Male,SEX_MLE,70.85
HUN,Hungary,2021,TRUE,Male,SEX_MLE,70.94
SVK,Slovakia,2021,TRUE,Male,SEX_MLE,71.13
GEO,Georgia,2021,TRUE,Both sexes,SEX_BTSX,71.24
BGR,Bulgaria,2021,TRUE,Both sexes,SEX_BTSX,71.31
MNE,Montenegro,2021,TRUE,Male,SEX_MLE,71.62
POL,Poland,2021,TRUE,Male,SEX_MLE,71.55
TJK,Tajikistan,2021,TRUE,Both sexes,SEX_BTSX,71.81
KGZ,Kyrgyzstan,2021,TRUE,Both sexes,SEX_BTSX,72.19
UZB,Uzbekistan,2021,TRUE,Both sexes,SEX_BTSX,72.19
TKM,Turkmenistan,2021,TRUE,Female,SEX_FMLE,72.5
TUR,Türkiye,2021,TRUE,Male,SEX_MLE,72.54
BIH,Bosnia and Herzegovina,2021,TRUE,Male,SEX_MLE,72.56
ROU,Romania,2021,TRUE,Both sexes,SEX_BTSX,72.76
EST,Estonia,2021,TRUE,Male,SEX_MLE,72.83
SRB,Serbia,2021,TRUE,Both sexes,SEX_BTSX,72.81
AZE,Azerbaijan,2021,TRUE,Both sexes,SEX_BTSX,72.91
MKD,North Macedonia,2021,TRUE,Both sexes,SEX_BTSX,73
ARM,Armenia,2021,TRUE,Both sexes,SEX_BTSX,72.98
BLR,Belarus,2021,TRUE,Both sexes,SEX_BTSX,73.12
LVA,Latvia,2021,TRUE,Both sexes,SEX_BTSX,73.2
TJK,Tajikistan,2021,TRUE,Female,SEX_FMLE,73.5
MDA,Republic of Moldova,2021,TRUE,Female,SEX_FMLE,73.63
HRV,Croatia,2021,TRUE,Male,SEX_MLE,73.78
KAZ,Kazakhstan,2021,TRUE,Female,SEX_FMLE,73.94
CZE,Czechia,2021,TRUE,Male,SEX_MLE,74.01
UZB,Uzbekistan,2021,TRUE,Female,SEX_FMLE,74.11
LTU,Lithuania,2021,TRUE,Both sexes,SEX_BTSX,74.13
RUS,Russian Federation,2021,TRUE,Female,SEX_FMLE,74.34
ALB,Albania,2021,TRUE,Male,SEX_MLE,74.36
HUN,Hungary,2021,TRUE,Both sexes,SEX_BTSX,74.4
SVK,Slovakia,2021,TRUE,Both sexes,SEX_BTSX,74.51
MNE,Montenegro,2021,TRUE,Both sexes,SEX_BTSX,74.71
BIH,Bosnia and Herzegovina,2021,TRUE,Both sexes,SEX_BTSX,74.85
BGR,Bulgaria,2021,TRUE,Female,SEX_FMLE,74.98
AZE,Azerbaijan,2021,TRUE,Female,SEX_FMLE,75.19
MKD,North Macedonia,2021,TRUE,Female,SEX_FMLE,75.24
UKR,Ukraine,2021,TRUE,Female,SEX_FMLE,75.34
TUR,Türkiye,2021,TRUE,Both sexes,SEX_BTSX,75.27
POL,Poland,2021,TRUE,Both sexes,SEX_BTSX,75.4
GEO,Georgia,2021,TRUE,Female,SEX_FMLE,75.6
SRB,Serbia,2021,TRUE,Female,SEX_FMLE,75.62
