Location,Time,Value
United Kingdom,1950,151663
United Kingdom,1951,-93691
United Kingdom,1952,7995
United Kingdom,1953,15385
United Kingdom,1954,13400
United Kingdom,1955,9403
United Kingdom,1956,16200
United Kingdom,1957,17875
United Kingdom,1958,25213
United Kingdom,1959,19006
United Kingdom,1960,19953
United Kingdom,1961,52295
United Kingdom,1962,76443
United Kingdom,1963,8271
United Kingdom,1964,-23885
United Kingdom,1965,-24955
United Kingdom,1966,-27935
United Kingdom,1967,-39659
United Kingdom,1968,-38852
United Kingdom,1969,-60655
United Kingdom,1970,-15254
United Kingdom,1971,1175
United Kingdom,1972,-1406
United Kingdom,1973,-33840
United Kingdom,1974,-65710
United Kingdom,1975,-40241
United Kingdom,1976,-19135
United Kingdom,1977,-21636
United Kingdom,1978,3783
United Kingdom,1979,11255
United Kingdom,1980,-25187
United Kingdom,1981,-83876
United Kingdom,1982,-61152
United Kingdom,1983,27063
United Kingdom,1984,71107
United Kingdom,1985,83164
United Kingdom,1986,41836
United Kingdom,1987,8266
United Kingdom,1988,13952
United Kingdom,1989,49586
United Kingdom,1990,57132
United Kingdom,1991,27601
United Kingdom,1992,17846
United Kingdom,1993,27403
United Kingdom,1994,45339
United Kingdom,1995,61385
United Kingdom,1996,54964
United Kingdom,1997,59723
United Kingdom,1998,125541
United Kingdom,1999,152653
United Kingdom,2000,153917
United Kingdom,2001,175133
United Kingdom,2002,203577
United Kingdom,2003,211846
United Kingdom,2004,276077
United Kingdom,2005,308279
United Kingdom,2006,288923
United Kingdom,2007,309385
United Kingdom,2008,263390
United Kingdom,2009,249639
United Kingdom,2010,274811
United Kingdom,2011,228773
United Kingdom,2012,172088
United Kingdom,2013,237272
United Kingdom,2014,306091
United Kingdom,2015,347839
United Kingdom,2016,324649
United Kingdom,2017,272311
United Kingdom,2018,259744
United Kingdom,2019,232727
United Kingdom,2020,144221
United Kingdom,2021,462967
United Kingdom,2022,487029
United Kingdom,2023,445523
United Kingdom,2024,417114
United Kingdom,2025,389911
