Age,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971
0,"694,401","675,503","698,956","718,410","736,831","756,135","776,812","771,325","773,792","789,278","810,270","799,686","791,801","782,726","788,225","757,429","734,035","716,331","704,450","679,910","661,786","662,662","682,385","704,491","712,544","733,266","718,789","731,719","755,216","756,991","785,117","789,720","773,414","769,297","778,213","756,788","748,199","741,302","712,754","714,626","713,110","729,873","734,109","709,691","655,810","645,940","677,320","706,873","735,132","793,122","846,164","898,674"
1,"690,758","702,771","719,804","736,596","755,272","777,784","774,080","776,857","792,690","813,213","804,353","789,910","781,631","787,962","758,643","737,641","716,092","704,755","679,406","662,639","664,800","679,455","701,642","713,065","731,552","718,727","730,047","753,543","754,510","782,337","787,696","771,556","767,281","777,111","753,737","746,361","741,795","711,463","714,180","710,623","724,575","731,302","706,379","653,317","643,970","673,402","703,053","730,600","788,130","841,729","893,112","875,350"
2,"716,737","719,432","733,178","753,572","776,393","773,200","778,370","794,490","815,304","807,232","793,396","782,209","788,659","759,942","740,782","717,749","704,383","680,794","663,651","667,850","682,505","698,903","712,124","731,980","719,903","729,026","752,234","754,795","781,701","787,394","771,504","767,759","776,796","754,272","746,162","741,943","711,751","713,857","710,837","723,259","729,747","705,202","652,006","642,965","672,126","699,438","727,975","784,436","837,630","890,312","872,388","913,862"
3,"732,823","730,634","750,732","775,597","771,230","777,281","795,593","816,833","809,997","796,108","785,327","790,453","761,633","743,661","718,402","705,686","681,323","665,589","670,805","685,822","702,372","710,986","731,484","721,971","728,775","751,047","755,137","781,441","787,911","772,006","768,282","779,656","756,506","748,864","743,650","714,051","716,385","712,394","723,870","728,543","703,396","650,422","641,043","671,253","698,179","724,210","781,701","833,373","887,158","870,303","910,282","919,563"
4,"742,836","749,403","773,574","770,377","775,628","794,858","817,806","812,416","798,836","787,955","792,931","764,623","746,833","718,630","705,931","683,009","666,792","674,460","689,289","706,437","714,737","730,156","723,535","729,242","749,716","754,884","781,563","788,644","772,821","767,743","778,861","758,179","749,767","744,526","714,304","717,181","716,141","725,597","729,062","702,473","648,728","639,530","669,995","697,276","723,114","778,549","830,587","884,487","868,240","907,727","915,935","945,135"
5,"761,499","773,122","768,443","775,133","794,185","817,718","814,920","801,633","791,076","795,348","766,166","749,378","719,662","706,675","683,652","668,737","676,448","691,326","710,619","718,816","734,046","724,436","728,103","749,311","755,165","781,116","789,457","773,102","768,060","778,838","757,843","750,808","745,099","714,889","717,180","716,890","728,194","731,029","703,009","647,987","638,045","668,816","695,867","721,817","776,573","827,397","882,209","865,682","904,132","912,861","943,397","934,747"
6,"785,056","768,118","773,899","794,340","816,989","815,878","804,040","793,824","798,043","767,679","750,418","719,588","707,338","684,756","670,158","680,008","693,670","712,945","722,477","738,183","728,146","727,937","747,575","756,466","781,296","789,842","774,800","769,148","779,132","758,169","750,752","746,733","716,425","718,806","717,188","729,053","733,152","704,576","648,475","637,327","667,390","694,695","720,467","775,325","825,543","880,338","864,671","901,613","909,326","941,333","933,000","955,974"
7,"779,908","773,893","793,911","817,312","816,478","805,402","796,576","800,681","769,533","751,615","723,299","706,879","685,914","672,111","683,270","697,650","715,647","724,826","742,354","732,731","731,009","745,817","755,711","781,369","790,079","775,177","769,765","779,519","758,891","750,367","747,181","717,800","719,380","717,901","729,569","734,297","706,116","649,993","637,919","666,969","693,233","719,314","774,300","824,405","879,577","864,090","899,594","906,562","938,211","932,474","956,051","952,626"
8,"784,975","794,321","816,567","817,768","806,239","798,172","803,011","771,332","753,056","727,113","711,217","686,034","673,953","686,883","701,198","719,998","727,362","744,563","737,099","734,751","749,690","755,780","780,381","791,526","776,092","769,906","779,915","759,780","750,727","748,079","718,447","720,684","719,057","731,235","734,522","706,978","651,636","639,571","667,601","692,789","717,915","772,978","822,960","878,893","864,278","898,361","904,220","934,971","931,345","957,254","952,914","927,582"
9,"805,260","816,921","818,206","807,966","799,835","804,828","773,411","754,804","731,534","716,032","690,806","674,821","690,309","705,020","723,676","731,213","747,299","739,928","738,187","753,773","758,094","780,454","791,817","777,706","770,442","779,925","760,753","750,853","749,337","719,132","720,354","720,572","731,765","734,884","707,484","652,567","641,464","669,012","693,554","717,371","771,430","821,630","878,476","864,563","897,445","903,153","932,285","930,240","956,137","954,234","927,773","913,056"
10,"827,317","820,030","808,745","801,982","806,302","774,504","756,459","735,718","721,047","695,657","678,776","693,148","709,015","727,329","734,175","751,980","743,542","741,392","756,407","761,128","783,200","791,887","777,843","771,449","780,027","761,046","751,257","750,782","720,330","719,442","719,482","732,870","736,424","708,079","652,598","641,904","670,116","695,133","717,633","770,715","819,839","875,918","865,443","896,629","902,581","930,961","930,452","956,590","954,751","929,107","914,065","895,606"
11,"829,535","810,879","803,256","808,814","775,723","757,742","740,133","726,129","700,919","683,192","695,003","712,234","731,700","737,748","755,197","748,118","744,488","760,350","762,564","785,652","794,741","779,056","771,596","781,734","762,286","751,895","752,779","721,881","720,101","720,077","733,699","738,147","709,513","654,263","642,810","671,616","697,618","719,614","770,897","818,854","872,790","865,511","896,051","902,481","929,978","931,686","957,352","955,425","929,947","915,512","896,132","864,333"
12,"819,954","805,726","810,295","777,712","759,021","744,274","731,388","706,234","687,824","697,179","713,577","735,093","741,720","758,906","751,428","748,297","763,666","764,656","785,800","796,902","779,375","771,867","781,503","763,597","752,187","753,697","723,284","720,269","720,165","733,826","737,833","710,696","655,133","643,592","672,088","698,050","720,752","771,877","818,552","870,130","863,153","895,751","902,489","929,724","934,033","958,728","955,812","931,121","916,316","897,692","864,785","843,744"
13,"814,474","813,042","778,769","760,825","748,531","736,483","711,923","692,837","699,924","715,425","736,085","745,213","763,207","755,466","751,212","768,015","766,574","786,769","796,993","780,201","771,278","782,194","764,401","753,649","755,586","724,465","720,900","720,730","734,419","738,057","711,006","656,698","644,951","672,930","698,733","721,745","773,174","819,715","868,403","861,132","893,618","902,239","929,655","936,297","961,122","956,978","931,842","916,800","898,327","866,056","843,552","824,046"
14,"821,916","781,734","762,895","753,774","742,309","717,937","698,622","703,435","718,107","737,809","745,516","766,934","759,832","754,421","771,191","769,354","787,658","797,739","778,304","771,589","780,386","765,051","753,535","757,188","725,424","720,696","721,307","734,936","738,569","711,085","656,784","646,302","674,693","699,170","722,164","773,781","821,093","867,871","859,703","892,221","900,527","930,304","938,603","963,679","958,674","933,357","917,783","898,630","866,743","844,264","824,909","804,342"
15,"790,245","765,922","758,013","748,736","724,614","704,623","707,822","721,706","740,596","746,613","767,499","766,677","760,355","778,373","774,764","792,444","801,971","780,683","772,862","781,980","763,141","756,492","755,817","726,527","721,461","722,518","735,895","739,584","711,735","657,369","646,807","676,493","701,236","723,383","774,374","821,601","867,823","860,144","892,271","900,209","929,285","939,309","965,946","961,647","935,004","918,863","899,779","867,384","845,654","826,474","804,557","788,028"
16,"775,793","762,896","753,638","731,761","711,713","712,584","726,792","744,780","749,318","769,182","766,793","767,814","785,804","782,006","798,051","807,833","784,181","776,282","783,883","764,564","756,555","761,269","726,477","722,094","722,828","736,588","739,690","712,032","657,425","646,707","676,068","705,444","726,940","776,850","823,158","868,335","861,884","894,050","901,814","930,895","940,654","966,399","962,444","936,592","919,968","899,501","866,926","844,075","826,364","803,591","785,744","762,549"
17,"774,608","761,384","739,255","720,958","720,080","733,325","752,268","755,014","773,845","769,270","770,769","795,486","788,922","808,043","814,540","790,922","780,388","787,208","765,732","760,044","761,645","732,596","720,437","723,917","736,831","740,178","712,130","657,154","646,532","675,319","702,941","729,537","779,160","824,424","867,313","862,217","894,026","902,839","929,722","947,382","973,805","962,721","938,496","921,502","899,790","866,453","843,330","825,369","802,715","784,497","760,954","778,904"
18,"780,301","757,191","737,119","736,421","747,119","765,965","770,109","786,830","779,419","780,106","803,927","803,310","819,096","829,846","800,978","790,463","794,471","772,665","766,379","768,025","736,288","717,028","708,475","726,774","729,094","702,927","649,900","641,235","671,330","699,549","726,060","779,874","824,500","865,135","860,180","893,361","902,000","929,289","940,119","972,641","964,368","939,449","923,465","901,484","867,481","844,228","827,231","803,724","782,298","758,859","777,849","770,271"
19,"782,064","765,125","762,281","770,093","787,917","789,944","810,699","799,321","799,690","821,213","819,220","839,706","847,570","818,612","808,129","811,923","785,828","783,354","781,569","748,743","727,674","710,702","721,401","726,244","699,477","649,452","641,944","673,717","699,883","726,531","779,327","828,066","866,389","860,298","893,759","903,605","930,407","941,324","967,897","970,642","945,693","926,795","905,432","870,708","846,652","829,115","806,930","784,915","759,464","779,150","772,146","762,667"
20,"786,749","776,002","783,019","805,298","806,293","825,562","817,764","817,595","836,731","832,001","851,665","866,045","833,966","811,583","822,432","797,909","795,987","794,880","758,614","735,413","720,309","741,568","740,293","710,267","665,903","654,441","681,837","706,148","730,588","781,942","828,974","866,431","860,928","893,028","902,426","930,391","941,346","967,728","967,710","947,633","926,815","909,562","875,841","850,040","832,645","810,622","789,615","763,187","781,223","775,357","765,656","783,981"
